"","ObservationDate","Confirmed","Deaths","Recovered"
"01-01-2021","01/22/2020",84054370,1835216,47313005
"01-02-2021","01/23/2020",84679917,1843620,47614297
"01-03-2021","01/24/2020",85212884,1850931,47882779
"01-04-2021","01/25/2020",85766126,1861107,48173187
"01-05-2021","01/26/2020",86504791,1876406,48488548
"01-06-2021","01/27/2020",87286422,1891399,48801673
"01-07-2021","01/28/2020",88166327,1906241,49125604
"01-08-2021","01/29/2020",88966439,1921307,49422867
"01-09-2021","01/30/2020",89729075,1934018,49753112
"01-10-2021","01/31/2020",90318122,1942271,50023662
"01-11-2021","02-01-2020",90936928,1952521,50313950
"01-12-2021","02-02-2020",91641834,1969791,50657507
"01/13/2021","02-03-2020",92389297,1986197,51023568
"01/14/2021","02-04-2020",93144039,2001487,51396413
"01/15/2021","02-05-2020",93909129,2016514,51717035
"01/16/2021","02-06-2020",94547911,2029708,52034090
"01/17/2021","02-07-2020",95076127,2038264,52349805
"01/18/2021","02-08-2020",95591185,2047579,52668558
"01/19/2021","02-09-2020",96198228,2064398,53071502
"01/20/2021","02-10-2020",96890121,2081964,53399273
"01/21/2021","02-11-2020",97546178,2098685,53765412
"01/22/2020","02-12-2020",557,17,30
"01/22/2021","02/13/2020",98204479,2114619,54147169
"01/23/2020","02/14/2020",1097,34,60
"01/23/2021","02/15/2020",98772015,2127852,54463662
"01/24/2020","02/16/2020",941,26,39
"01/24/2021","02/17/2020",99217695,2136747,54774619
"01/25/2020","02/18/2020",1437,42,42
"01/25/2021","02/19/2020",99714128,2147474,55089060
"01/26/2020","02/20/2020",2118,56,56
"01/26/2021","02/21/2020",100269237,2164769,55418603
"01/27/2020","02/22/2020",2927,82,65
"01/27/2021","02/23/2020",100866518,2181404,55921212
"01/28/2020","02/24/2020",5578,131,108
"01/28/2021","02/25/2020",101480537,2198391,56075031
"01/29/2020","02/26/2020",6165,133,127
"01/29/2021","02/27/2020",102070241,2213280,56439138
"01/30/2020","02/28/2020",8235,171,145
"01/30/2021","02/29/2020",102585112,2226794,56790304
"01/31/2020","03-01-2020",9925,213,225
"01/31/2021","03-02-2020",102967345,2234722,57079203
"02-01-2020","03-03-2020",12038,259,287
"02-01-2021","03-04-2020",103413233,2244890,57351845
"02-02-2020","03-05-2020",16787,362,476
"02-02-2021","03-06-2020",103870440,2259733,57702035
"02-03-2020","03-07-2020",19881,426,627
"02-03-2021","03-08-2020",104392192,2275382,58031882
"02-04-2020","03-09-2020",23892,492,857
"02-04-2021","03-10-2020",104858367,2287901,58325871
"02-05-2020","03-11-2020",27636,564,1129
"02-05-2021","03-12-2020",105392905,2304371,58607158
"02-06-2020","03/13/2020",30818,634,1492
"02-06-2021","03/14/2020",105764933,2314418,58901715
"02-07-2020","03/15/2020",34392,719,2016
"02-07-2021","03/16/2020",106162758,2322292,59199150
"02-08-2020","03/17/2020",37121,806,2616
"02-08-2021","03/18/2020",106478448,2330599,59411984
"02-09-2020","03/19/2020",40151,906,3245
"02-09-2021","03/20/2020",106905813,2346105,59783592
"02-10-2020","03/21/2020",42763,1013,3947
"02-10-2021","03/22/2020",107340958,2359491,60052900
"02-11-2020","03/23/2020",44803,1113,4684
"02-11-2021","03/24/2020",107781878,2372908,60328985
"02-12-2020","03/25/2020",45222,1118,5151
"02-12-2021","03/26/2020",108210949,2385340,60616584
"02/13/2020","03/27/2020",60370,1371,6294
"02/13/2021","03/28/2020",108583902,2395107,60862827
"02/14/2020","03/29/2020",66887,1523,8057
"02/14/2021","03/30/2020",108877486,2401404,61058258
"02/15/2020","03/31/2020",69033,1666,9396
"02/15/2021","04-01-2020",109160854,2408293,61346871
"02/16/2020","04-02-2020",71226,1770,10866
"02/16/2021","04-03-2020",109511448,2419161,61582276
"02/17/2020","04-04-2020",73260,1868,12583
"02/17/2021","04-05-2020",109906540,2430474,61876217
"02/18/2020","04-06-2020",75138,2007,14352
"02/18/2021","04-07-2020",110309749,2441638,62112835
"02/19/2020","04-08-2020",75641,2122,16121
"02/19/2021","04-09-2020",110749144,2452744,62347471
"02/20/2020","04-10-2020",76199,2247,18179
"02/20/2021","04-11-2020",111119409,2461259,62616687
"02/21/2020","04-12-2020",76843,2251,18892
"02/21/2021","04/13/2020",111433102,2467139,62833944
"02/22/2020","04/14/2020",78599,2458,22889
"02/22/2021","04/15/2020",111721889,2474178,63016514
"02/23/2020","04/16/2020",78985,2469,23394
"02/23/2021","04/17/2020",112109754,2485434,63295144
"02/24/2020","04/18/2020",79570,2629,25227
"02/24/2021","04/19/2020",112554301,2497488,63504603
"02/25/2020","04/20/2020",80415,2708,27905
"02/25/2021","04/21/2020",113001412,2507624,63732295
"02/26/2020","04/22/2020",81397,2770,30386
"02/26/2021","04/23/2020",113415604,2517422,63992563
"02/27/2020","04/24/2020",82756,2814,33278
"02/27/2021","04/25/2020",113784735,2525401,64243285
"02/28/2020","04/26/2020",84125,2872,36710
"02/29/2020","04/27/2020",86012,2941,39781
